This is my awesome data!,,,,,
,,,,,
,vegetable,variety,date,weight,units
,corn,Dorinny Sweet,8/11/20,330,grams
,lettuce,Lettuce Mixture,8/12/20,73,grams
,zucchini,Romanesco,8/13/20,1774,grams
,beans,Bush Bush Slender,8/13/20,468,grams
,beans,Classic Slenderette,8/13/20,122,grams
,tomatoes,grape,8/13/20,421,grams
,tomatoes,Bonny Best,8/13/20,332,grams
,tomatoes,Better Boy,8/13/20,727,grams
,tomatoes,Amish Paste,8/13/20,642,grams
,tomatoes,Big Beef,8/13/20,413,grams
,beans,Chinese Red Noodle,8/13/20,65,grams
,cucumbers,pickling,8/13/20,599,grams
,basil,Isle of Naxos,8/13/20,12,grams
,beets,Sweet Merlin,8/13/20,198,grams
,beets,Gourmet Golden,8/13/20,308,grams
,Swiss chard,Neon Glow,8/13/20,517,grams
,beets,Sweet Merlin,8/13/20,2209,grams
,beets,Gourmet Golden,8/13/20,2476,grams
,corn,Dorinny Sweet,8/14/20,1564,grams
,lettuce,Lettuce Mixture,8/14/20,80,grams
,tomatoes,Bonny Best,8/14/20,711,grams
,tomatoes,Old German,8/14/20,238,grams
,tomatoes,Amish Paste,8/14/20,525,grams
,tomatoes,Jet Star,8/14/20,181,grams
,tomatoes,Big Beef,8/14/20,266,grams
,tomatoes,volunteers,8/14/20,490,grams
,tomatoes,grape,8/14/20,126,grams
,zucchini,Romanesco,8/14/20,371,grams
,corn,Golden Bantam,8/15/20,383,grams
,cucumbers,pickling,8/15/20,351,grams
,zucchini,Romanesco,8/15/20,859,grams
,basil,Isle of Naxos,8/15/20,25,grams
,onions,Long Keeping Rainbow,8/15/20,137,grams
,kale,Heirloom Lacinto,8/15/20,71,grams
,lettuce,Lettuce Mixture,8/15/20,56,grams
,tomatoes,grape,8/16/20,477,grams
,tomatoes,volunteers,8/16/20,328,grams
,lettuce,Lettuce Mixture,8/16/20,45,grams
,tomatoes,Bonny Best,8/16/20,543,grams
,tomatoes,Old German,8/16/20,599,grams
,tomatoes,Amish Paste,8/16/20,560,grams
,tomatoes,Black Krim,8/16/20,291,grams
,tomatoes,Better Boy,8/16/20,238,grams
,tomatoes,Big Beef,8/16/20,397,grams
,zucchini,Romanesco,8/16/20,660,grams
,beans,Bush Bush Slender,8/16/20,693,grams
,tomatoes,Bonny Best,8/17/20,364,grams
,tomatoes,Brandywine,8/17/20,305,grams
,tomatoes,Amish Paste,8/17/20,588,grams
,tomatoes,Better Boy,8/17/20,764,grams
,tomatoes,grape,8/17/20,436,grams
,tomatoes,volunteers,8/17/20,306,grams
,beans,Classic Slenderette,8/17/20,350,grams
,beans,Chinese Red Noodle,8/17/20,105,grams
,spinach,Catalina,8/17/20,30,grams
,lettuce,Lettuce Mixture,8/17/20,67,grams
,corn,Golden Bantam,8/17/20,344,grams
,kale,Heirloom Lacinto,8/17/20,173,grams
,basil,Isle of Naxos,8/18/20,27,grams
,onions,Long Keeping Rainbow,8/18/20,126,grams
,peppers,variety,8/18/20,112,grams
,zucchini,Romanesco,8/18/20,1151,grams
,beans,Bush Bush Slender,8/18/20,225,grams
,cucumbers,pickling,8/18/20,2888,grams
,tomatoes,Mortgage Lifter,8/18/20,608,grams
,tomatoes,grape,8/18/20,136,grams
,tomatoes,volunteers,8/18/20,148,grams
,tomatoes,Black Krim,8/18/20,317,grams
,tomatoes,Old German,8/18/20,105,grams
,tomatoes,Bonny Best,8/18/20,271,grams
,spinach,Catalina,8/18/20,39,grams
,lettuce,Lettuce Mixture,8/18/20,87,grams
,cucumbers,pickling,8/18/20,233,grams
,edamame,edamame,8/18/20,527,grams
,potatoes,purple,8/19/20,323,grams
,potatoes,yellow,8/19/20,278,grams
,hot peppers,thai,8/19/20,31,grams
,tomatoes,Cherokee Purple,8/19/20,872,grams
,tomatoes,Black Krim,8/19/20,579,grams
,tomatoes,Better Boy,8/19/20,615,grams
,tomatoes,Amish Paste,8/19/20,997,grams
,tomatoes,Brandywine,8/19/20,335,grams
,tomatoes,Big Beef,8/19/20,264,grams
,tomatoes,grape,8/19/20,451,grams
,tomatoes,volunteers,8/19/20,306,grams
,lettuce,Lettuce Mixture,8/20/20,99,grams
,cucumbers,pickling,8/20/20,70,grams
,tomatoes,volunteers,8/20/20,333,grams
,tomatoes,Brandywine,8/20/20,483,grams
,tomatoes,Bonny Best,8/20/20,632,grams
,tomatoes,Jet Star,8/20/20,360,grams
,tomatoes,Better Boy,8/20/20,230,grams
,tomatoes,Big Beef,8/20/20,344,grams
,tomatoes,Amish Paste,8/20/20,1010,grams
,beans,Classic Slenderette,8/20/20,328,grams
,beans,Bush Bush Slender,8/20/20,287,grams
,lettuce,Tatsoi,8/20/20,322,grams
,tomatoes,grape,8/20/20,493,grams
,peppers,green,8/20/20,252,grams
,peppers,variety,8/20/20,70,grams
,zucchini,Romanesco,8/20/20,834,grams
,onions,Long Keeping Rainbow,8/20/20,113,grams
,zucchini,Romanesco,8/21/20,1122,grams
,basil,Isle of Naxos,8/21/20,34,grams
,jalapeño,giant,8/21/20,509,grams
,tomatoes,Cherokee Purple,8/21/20,1601,grams
,tomatoes,Big Beef,8/21/20,842,grams
,tomatoes,Black Krim,8/21/20,1538,grams
,tomatoes,Amish Paste,8/21/20,428,grams
,tomatoes,Old German,8/21/20,243,grams
,tomatoes,Bonny Best,8/21/20,330,grams
,cucumbers,pickling,8/21/20,997,grams
,tomatoes,grape,8/21/20,265,grams
,tomatoes,volunteers,8/21/20,562,grams
,carrots,Dragon,8/21/20,457,grams
,tomatoes,Amish Paste,8/23/20,1542,grams
,tomatoes,Old German,8/23/20,801,grams
,tomatoes,grape,8/23/20,436,grams
,cucumbers,pickling,8/23/20,747,grams
,tomatoes,Black Krim,8/23/20,1573,grams
,tomatoes,Mortgage Lifter,8/23/20,704,grams
,tomatoes,Brandywine,8/23/20,446,grams
,tomatoes,Bonny Best,8/23/20,269,grams
,corn,Dorinny Sweet,8/23/20,661,grams
,zucchini,Romanesco,8/23/20,2436,grams
,lettuce,Lettuce Mixture,8/23/20,111,grams
,lettuce,Lettuce Mixture,8/24/20,134,grams
,peppers,green,8/24/20,115,grams
,tomatoes,grape,8/24/20,75,grams
,kale,Heirloom Lacinto,8/24/20,117,grams
,tomatoes,Jet Star,8/25/20,578,grams
,tomatoes,Brandywine,8/25/20,871,grams
,tomatoes,Old German,8/25/20,115,grams
,tomatoes,Bonny Best,8/25/20,629,grams
,beans,Classic Slenderette,8/25/20,186,grams
,beans,Bush Bush Slender,8/25/20,320,grams
,tomatoes,volunteers,8/25/20,488,grams
,tomatoes,grape,8/25/20,506,grams
,zucchini,Romanesco,8/25/20,920,grams
,cucumbers,pickling,8/25/20,179,grams
,tomatoes,Amish Paste,8/25/20,1400,grams
,tomatoes,Big Beef,8/25/20,993,grams
,tomatoes,Mortgage Lifter,8/25/20,1026,grams
,tomatoes,Amish Paste,8/26/20,1886,grams
,tomatoes,Old German,8/26/20,666,grams
,tomatoes,Brandywine,8/26/20,1042,grams
,tomatoes,Cherokee Purple,8/26/20,593,grams
,tomatoes,Black Krim,8/26/20,216,grams
,tomatoes,Better Boy,8/26/20,309,grams
,tomatoes,Big Beef,8/26/20,497,grams
,tomatoes,volunteers,8/26/20,261,grams
,tomatoes,grape,8/26/20,819,grams
,corn,Dorinny Sweet,8/26/20,1607,grams
,lettuce,Lettuce Mixture,8/27/20,14,grams
,raspberries,perrenial,8/28/20,29,grams
,zucchini,Romanesco,8/28/20,3244,grams
,lettuce,Lettuce Mixture,8/28/20,85,grams
,basil,Isle of Naxos,8/29/20,24,grams
,onions,Long Keeping Rainbow,8/29/20,289,grams
,tomatoes,grape,8/29/20,380,grams
,tomatoes,volunteers,8/29/20,737,grams
,tomatoes,Big Beef,8/29/20,1033,grams
,tomatoes,Mortgage Lifter,8/29/20,1097,grams
